subject,F1,F2,vowel,word
NS01,678,1738,e,head
NS01,672,1694,e,bed
NS01,730,1688,e,get
NS01,679,1794,e,set
NS01,780,1722,e,pet
NS01,713,1453,e,het
NS01,764,1392,ae,bad
NS01,747,1543,ae,had
NS01,802,1692,ae,cat
NS01,731,1428,ae,sat
NS01,680,1503,ae,hat
NS02,1094,1755,ae,hat
NS02,833,2070,e,get
NS02,1040,1748,ae,bad
NS02,987,1621,ae,had
NS02,739,1644,e,bed
NS02,750,2045,e,head
NS02,712,2109,e,set
NS02,756,2018,e,pet
NS02,841,1985,e,het
NS03,816,1765,e,het
NS03,791,1764,e,pet
NS03,694,1833,e,get
NS03,768,1645,e,set
NS03,814,1419,ae,hat
NS03,848,1429,ae,bad
NS03,902,1727,ae,had
NS03,761,1830,e,bed
NS03,758,1688,e,head
NS03,892,1438,ae,sat
NS03,828,1767,ae,cat
NS04,888,2206,e,bed
NS04,893,2087,e,head
NS04,1080,1930,ae,sat
NS04,1180,1853,ae,cat
NS04,1123,1864,ae,hat
NS04,1106,1865,ae,bad
NS04,1173,1890,ae,had
NS04,971,2173,e,get
NS04,934,2170,e,set
NS04,976,2213,e,pet
NS04,1018,2253,e,het
NS05,715,1951,e,set
NS05,808,1762,e,get
NS05,825,1561,ae,sat
NS05,717,1589,ae,cat
NS05,722,1883,ae,hat
NS05,981,1967,e,pet
NS05,1000,1794,e,het
NS05,667,1831,e,bed
NS05,737,1638,e,head
NS05,751,1514,ae,had
NS05,739,1732,ae,bad
NS06,799,2122,e,pet
NS06,887,2039,e,het
NS06,866,1444,e,bed
NS06,745,1553,ae,cat
NS06,944,885,ae,hat
NS06,841,1610,ae,bad
NS06,893,1924,ae,had
NS06,838,2176,e,head
NS06,852,1615,ae,sat
NS06,830,2044,e,get
NS06,884,1786,e,set
NS08,869,2069,e,get
NS08,847,1884,e,set
NS08,942,2086,e,pet
NS08,986,1911,e,het
NS08,826,2062,e,bed
NS08,1059,1886,e,head
NS08,917,1422,ae,sat
NS08,948,1449,ae,cat
NS08,1021,1445,ae,hat
NS08,884,1390,ae,bad
NS08,1002,1443,ae,had
NS12,645,1953,e,get
NS12,669,1813,e,set
NS12,667,1995,e,pet
NS12,719,2091,e,het
NS12,551,2001,e,bed
NS12,656,2040,e,head
NS12,790,1587,ae,sat
NS12,841,1667,ae,cat
NS12,1086,1676,ae,hat
NS12,873,1541,ae,bad
NS12,815,1560,ae,had
NS13,541,1809,e,get
NS13,596,1830,e,set
NS13,592,1788,e,pet
NS13,642,1865,e,het
NS13,595,1786,e,bed
NS13,626,1783,e,head
NS13,792,1388,ae,sat
NS13,816,1613,ae,cat
NS13,914,1530,ae,hat
NS13,837,1528,ae,bad
NS13,819,1504,ae,had
NS14,638,2163,e,get
NS14,762,2045,e,set
NS14,691,2048,e,pet
NS14,765,2119,e,het
NS14,815,2179,e,bed
NS14,968,1729,ae,sat
NS14,941,1668,ae,cat
NS14,864,1618,ae,hat
NS14,1142,1589,ae,bad
NS15,576,1924,e,get
NS15,565,1734,e,set
NS15,602,1698,e,pet
NS15,609,1806,e,het
NS15,541,1787,e,bed
NS15,542,1777,e,head
NS15,636,1531,ae,sat
NS15,701,1641,ae,cat
NS15,708,1555,ae,hat
NS15,679,1556,ae,bad
NS15,658,1576,ae,had
NS17,616,1914,e,get
NS17,625,1875,e,set
NS17,704,1821,e,pet
NS17,637,1794,e,het
NS17,631,1818,e,bed
NS17,652,1838,e,head
NS17,737,1353,ae,sat
NS17,818,1416,ae,cat
NS17,814,1403,ae,hat
NS17,765,1390,ae,bad
NS17,800,1461,ae,had
NS18,650,1960,e,get
NS18,680,1806,e,set
NS18,647,1836,e,pet
NS18,853,2110,e,het
NS18,577,1713,e,bed
NS18,822,1851,e,head
NS18,843,1659,ae,sat
NS18,870,1694,ae,cat
NS18,900,1681,ae,hat
NS18,877,1611,ae,bad
NS18,898,1651,ae,had
NS19,508,1620,e,get
NS19,638,1526,e,set
NS19,563,1530,e,pet
NS19,570,1597,e,het
NS19,496,1502,e,bed
NS19,489,1606,e,head
NS19,653,1337,ae,sat
NS19,791,1455,ae,cat
NS19,763,1451,ae,hat
NS19,704,1367,ae,bad
NS19,573,1310,ae,had
NS23,680,2101,e,set
NS23,720,2104,e,pet
NS23,736,2136,e,het
NS23,737,2096,e,bed
NS23,817,1536,ae,sat
NS23,789,1651,ae,cat
NS23,779,1459,ae,hat
NS23,831,1594,ae,bad
NS23,792,1482,ae,had
